,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sistranda,63.7256,8.834,264.15,92,20,3.09,NO,1612498986
1,Yellowknife,62.456,-114.3525,238.15,75,1,3.09,CA,1612498236
2,Bowen,-20.0167,148.2333,299.15,78,90,5.14,AU,1612498987
3,Ribeira Grande,38.5167,-28.7,286.05,68,51,8.52,PT,1612498484
4,Carauari,-4.8828,-66.8958,297.23,96,100,0.51,BR,1612498987
5,Shymkent,42.3,69.6,277.15,65,0,3,KZ,1612498987
6,Hermanus,-34.4187,19.2345,290.37,91,8,2.93,ZA,1612498469
7,Mayumba,-3.432,10.6554,299.38,84,100,2.66,GA,1612498536
8,Hilo,19.7297,-155.09,294.15,78,75,4.63,US,1612498857
9,Castro,-24.7911,-50.0119,289.19,89,1,2.31,BR,1612498987
10,Sayanogorsk,53.0875,91.3997,267.76,92,100,2.82,RU,1612498988
11,Katsuura,35.1333,140.3,282.15,49,20,2.57,JP,1612498988
12,Rikitea,-23.1203,-134.9692,299.21,69,100,5.35,PF,1612498988
13,Mataura,-46.1927,168.8643,296.73,39,91,1.27,NZ,1612498988
14,Katangli,51.7102,143.2326,252.59,87,100,7.08,RU,1612498988
15,Illoqqortoormiut,,,,,,,,
16,Puerto Madero,14.7208,-92.4215,296.15,100,40,1.03,MX,1612498988
17,Iqaluit,63.7506,-68.5145,263.15,85,90,4.12,CA,1612498884
18,Saint George,37.1041,-113.5841,280.93,31,1,3.6,US,1612498989
19,Avarua,-21.2078,-159.775,302.15,65,97,3.09,CK,1612498989
20,Hobart,-42.8794,147.3294,297.04,78,75,7.72,AU,1612498989
21,Bambous Virieux,-20.3428,57.7575,301.48,65,40,5.14,MU,1612498456
22,Busselton,-33.65,115.3333,296.48,41,3,1.79,AU,1612498720
23,Belushya Guba,,,,,,,,
24,Tilichiki,60.4667,166.1,252.59,93,96,6.51,RU,1612498535
25,Salalah,17.0151,54.0924,294.15,73,40,2.06,OM,1612498221
